id,enhanced_description
d1d3346b-0e38-408d-9893-b0a73d751cad,"Die Ryobi 18V Akku-Stableuchte R18Alf-0 ist eine hochwertige, multifunktionale Arbeitsleuchte, perfekt für Heimwerker- und Profiprojekte. Dieses Modell zeichnet sich durch sein klappbares Design aus, das eine optimale Ausleuchtung ermöglicht. Mit dem variablen Gelenk lässt sich die Beleuchtungsrichtung individuell anpassen, um die beste Lichtstreuung über die komplette Arbeitsfläche zu gewährleisten. 20 leistungsstarke LEDs liefern eine beeindruckende Helligkeit von 850 Lumen, und dank integrierter Aufhängungsoptionen kann die Lampe freihändig genutzt werden. Die Lampe ist auf Sicherheit und Stabilität ausgelegt, wenn sie auf dem Akku steht. Sie ist zudem mit allen Ryobi 18V ONE+ Akkus kompatibel, was sie zu einem äußerst vielseitigen Zubehör für die vielfältige Ryobi 18V Werkzeugsammlung macht. Die grüne Farbe fügt sich nahtlos in das Ryobi Design ein und macht die Leuchte zu einem stylischen wie praktischen Zusatz für jede Werkstatt."
35ac576e-0e67-4bd3-8d3a-fdd646fc7f0d,"Das Ryobi 18 V One+ Akku-Schnellladegerät Rc18120 ist ein unverzichtbares Werkzeug für alle Ihre Ryobi Geräte. Dieses kompakte Schnellladegerät mit einer Stromstärke von 2.0 A ermöglicht es, Ihre Akkus effizient zu laden: Ein 2.0 Ah Akku ist in nur 60 Minuten vollständig aufgeladen, während ein 4.0 Ah Akku eine Ladezeit von 120 Minuten hat. Das Ladegerät ist mit allen Ryobi 18 V One+ Akkus kompatibel und bietet intelligente Funktionalitäten wie Spannungs- und Temperaturüberwachung während des Ladevorgangs, um die Langlebigkeit Ihrer Akkus zu sichern. Darüber hinaus informieren Sie Kontrollleuchten über den aktuellen Ladezustand und ein 'Ready to go' Indikator zeigt an, wenn der Akku zu 80% geladen ist. Beachten Sie, dass im Lieferumfang das Schnellladegerät enthalten ist, jedoch ohne Akku."
9089c7e9-6ffb-4169-bc0f-6fac7b44d491,"Verleihen Sie Ihrer Treppe oder Ihrem Balkon mit dem Set aus zwei Handlaufkonsolen aus Fichte einen Hauch von Natürlichkeit und Stabilität. Diese hochwertigen Handlaufkonsolen bestehen aus robustem Eisen in klassischem Schwarz und sind mit einer verstellbaren Rosette aus Fichtenholz versehen, die nicht nur optisch ansprechend ist, sondern auch eine einfache Montage ermöglicht. Geeignet für Holzhandläufe, bringt dieses Set aus der Marke Dieda eine Kombination aus Funktionalität und ästhetischer Wärme in Ihr Zuhause. Mit einem Gewicht von nur 0,282 kg pro Klammer und einem Durchmesser von 52 mm ist das Befestigungsmaterial bereits im Lieferumfang enthalten, sodass Sie direkt mit der Installation beginnen können. Die nachhaltige Holzart Fichte, bezogen aus Europa und Deutschland, stellt eine umweltbewusste Wahl dar und unterstreicht die Natürlichkeit Ihres Interieurs."
4eeca026-3e84-4f61-8f03-2b722d0827f1,"Entdecken Sie die Vielseitigkeit der 2 Kantenspanner von Wolfcraft, einem unentbehrlichen Zusatzprodukt für Heimwerker und Profis gleichermaßen. Diese cleveren Helfer erweitern die Einsatzmöglichkeiten Ihrer Schienenzwingen optimal. Sie sind kompatibel mit Einhandzwingen oder Schraubzwingen mit einer Schiene von maximal 8 x 30 mm Dimension. Ideal, um Anleimer oder Umleimer zu fixieren oder für punktgenaues Spannen auf Flächen, beispielsweise am Profil einer Schranktür. Die Kantenspanner bestechen durch eine maximale Spannkraft von 30 kg und ermöglichen eine Spannweite von bis zu 24 mm. Im Lieferumfang sind 2 Stück dieser praktischen Spanner enthalten. Hergestellt aus einer robusten Kombination aus Stahl und Kunststoff, bieten die Kantenspanner Langlebigkeit und Zuverlässigkeit. Das Gewicht beträgt nur 131 Gramm bei einer Länge von 100 mm, was sie zu einem leichten, doch stabilen Werkzeug in Ihrer Werkstatt macht. In klassischem Grau mit Akzenten in Schwarz, Grün, Türkis, Anthrazit und Blau lieferbar, fügen sich die Spanner nahtlos in Ihr Werkzeugsortiment ein."
12b3ffff-4ad3-4e6e-9d8e-59dae1481cd9,"Das 2-er Hakenset Xpressions von Everloc ist die perfekte Ergänzung für jedes Badezimmer und bietet eine bequeme Lösung zur Aufbewahrung Ihrer Badaccessoires. Aus hochwertigem Edelstahl und Polycarbonat in Silberchrom-Optik gefertigt, kombiniert dieses Set Langlebigkeit mit Eleganz. Die Haken bieten dank der innovativen Befestigungstechnologie einen starken Halt ohne Bohren und hinterlassen bei der Entfernung keine Spuren - ideal für eine flexible Handhabung und wiederholtes Umpositionieren. Bei Abmessungen von 5 cm Länge, 13,5 cm Höhe und 20 cm Breite bietet das Set eine kompakte und dennoch geräumige Anbringungsmöglichkeit. Erhältlich zum Verkaufspreis von 10,60 CHF, ist dieses Hakenset nicht nur praktisch, sondern auch eine ästhetische Aufwertung für Ihre Badezimmereinrichtung."
3bb40d0d-9f18-4e57-bc0a-fa4fa32b93ab,"Hochwertiges 2-Takt-Öl in einer 0,1-Liter-Flasche von Universal, ideal für die Schmierung von Gartenmaschinen. Dieses Premium-Öl sorgt für hohe Motorleistung und minimiert gleichzeitig die Rauchentwicklung. Entwickelt, um die Lebensdauer Ihrer Geräte zu verlängern und eine optimale Funktionalität zu gewährleisten. Geeignet für eine Vielzahl von Geräten, wie in der Liste 'Passt zu' aufgeführt. Einfach zu verwenden mit genauer Dosierung, um Ihren Gartenmaschinen zuverlässigen Schutz zu bieten."
b3180b33-e4e9-4553-b221-e40255aeced4,"Dieses hochwertige 2-Takt-Öl LS bietet mit seinem 1-Liter-Inhalt eine optimale Schmierlösung für diverse Gartenmaschinen. Es zeichnet sich durch eine hohe Leistungsfähigkeit aus und trägt gleichzeitig zu einer verringerten Rauchentwicklung bei, was es zu einer umweltfreundlichen Wahl für den Betrieb von Kettensägen, Laubbläsern und anderen 2-Takt-Motoren macht. Die universelle Formulierung ist mit einer Vielfalt von Geräten kompatibel, wie die aufgeführten Modelnummern bezeugen, und garantiert eine lange Lebensdauer und Zuververlässigkeit Ihrer Gartenmaschinen. Entdecken Sie dieses unverzichtbare Produkt jetzt unter der angegebenen URL und verbessern Sie die Leistung Ihrer Geräte mit dem Premium 2-Takt-Öl von Universal."
23566ad1-0a98-46ef-aaea-ae3bcee849c4,"Das 20 g/m² weiche Seidenpapier von FOLIA überzeugt durch seine vielseitige Einsetzbarkeit zum Basteln und Verpacken von Geschenken. In bunten Farben sortiert, bietet es eine exzellente Wahl für kreative Projekte und Dekorationen. Hergestellt aus Recyclingfasern zeigt es umweltbewusstes Handeln. Mit seinem Ursprung in den Wäldern Kanadas verspricht dieses Seidenpapier eine nachhaltige Wahl für Bastelliebhaber zu sein. Erhältlich unter der Kategorie 'Bastelshop > Papiergestaltung > Basics > Japanseide + Blumenseide', vereint dieses Produkt Qualität mit Funktionalität und ökologischem Bewusstsein."
d3133f9a-aeaf-47c0-b30d-285f0ab446c8,"Dieser '20 Long Distance Dart Refill Pack' ist das ideale Zubehör für Dart-Blaster-Liebhaber. Kompatibel mit verschiedenen führenden Marken, ermöglicht dieses Nachfüllpack mit 20 hochwertigen Weitwurfpfeilen aus strapazierfähigem Kunststoff spannende Duelle und lang anhaltenden Spielspaß. Die Pfeile sind in einem auffälligen Design mit den Farben Blau und Gelb gestaltet, was sie auch auf Distanz leicht auffindbar macht. Aufgrund von Kleinteilen ist das Produkt allerdings nicht für Kinder unter 3 Jahren geeignet. Sicherheitshinweise weisen auf eine potenzielle Erstickungsgefahr hin. Mit dem Kauf dieses Nachfüllpacks sind Sie bereit für jede Action, die auf Sie wartet. Bitte beachten Sie die Sicherheitshinweise und die Angaben für die entsprechende Altersklasse von 3 Jahren und darüber."
65a36631-09d9-42bb-8398-5c32a7a630b3,"Das 20-er Schleifpapier Set von kwb richtet sich an alle Heimwerker und Handwerksprofis, die Wert auf feine Ergebnisse bei der Bearbeitung von Holz und Metall legen. Mit Abmessungen von 230 x 280 mm sind diese Schleifblätter ideal dimensioniert für häufige Schleifarbeiten. Das Schleifmittel aus hochwertigem Korund sorgt für eine effiziente Oberflächenbearbeitung und ist mit Aluminiumoxyd bestreut, das eine hohe Abtragsleistung bei der Entfernung von Rost, Lack und Spachtel garantiert. Dieses Set bietet eine praktische Sortierung unterschiedlicher Körnungen (60, 80, 150, 180), die eine flexible Anwendung von Grobschliff bis hin zu feineren Schliffen ermöglicht. Insgesamt erhalten die Nutzer 20 Bogen, aufgeteilt in vier Körnungsgruppen mit jeweils fünf Blättern, womit sich das Set als umfassende Lösung für vielseitige Schleifprojekte präsentiert."
3c40cbc2-31ac-4a62-b141-dcd9af9eaea4,"Die 20L Portable Toilet von Campingaz – ein unverzichtbares Zubehör für alle Outdoor-Enthusiasten. Diese Chemietoilette vereint Komfort und Praktikabilität, perfekt für Camping, Bootfahren oder Reisen. Ausgestattet mit einem 16 L Wassertank und einem 20 L Abwassertank bietet sie ausreichend Kapazität für mehrere Nutzungen. Hergestellt aus robusten Materialien wie Polypropylen, Polyethylen, ABS und Edelstahl, gewährleistet sie Langlebigkeit und einfache Reinigung. Mit einem Gewicht von nur 5,2 kg und den Maßen 38 x 57 x 44 cm ist die Toilette leicht zu transportieren. Das durchdachte Design und das umfangreiche Zubehör garantiert eine hygienische Bedienung, wo auch immer Sie sich befinden."
b58c68a1-4fb0-4e56-8364-88421eef9f05,"Das 2200-Watt-Elektrogebläse von GO ON ist Ihr idealer Helfer für Gartenarbeiten. Ausgestattet mit einem zusätzlichen Handgriff ermöglicht es eine komfortable Bedienung in jeder Arbeitsposition. Ein leistungsstarker Motor verspricht einen hohen Volumendurchsatz und effektives Arbeiten. Das Gerät bietet ein herausragendes Zerkleinerungsverhältnis von 10:1, wodurch Gartenabfälle effizient verkleinert werden können. Das Umschalten zwischen Blasen und Saugen geht dank des praktischen Knaufrad schnell und einfach. Neben der Zweifach-Funktion (Blasen, Saugen) verfügt es über eine robuste Häckselfunktion. Im Lieferumfang sind ein 40 Liter Fangsack sowie ein Reservefangsack inbegriffen. Mit einer beeindruckenden Blasgeschwindigkeit von 270 km/h und dem integrierten Stützrad ist dieses grüne Elektrowerkzeug ein Kraftpaket für Ihren Garten. Die Kabellänge beträgt 0,47 m und der Geräuschpegel liegt bei 102 dB, was eine gewisse Lärmentwicklung beim Arbeiten bedeutet."
b36f6811-5586-4420-9c05-01f8a53bebbd,"Die Gala 24er-Flatpack Lichte mit einer Brenndauer von 6 Stunden sind die perfekte Wahl, um Ihr Zuhause oder Event mit einem warmen, einladenden Schein zu erhellen. Ob in einem romantischen Dinner-Setting, einer festlichen Tischdekoration oder einfach zur Entspannung, diese Teelichte in der praktischen und ästhetischen transparenten PC-Hülle bringen ohne Zweifel die richtige Stimmung. Nicht nur praktisch verpackt, sondern auch qualitativ hochwertig, garantieren diese Teelichte eine gleichmäßige und rußarme Verbrennung. Entdecken Sie die einfache Art, Gemütlichkeit und Eleganz zu kombinieren, mit den Gala Teelichten zum Ausdruck von Stil und Feierlichkeit."
8e8f8976-410f-45e0-9ce1-7ebd1b36f6ea,"Entdecken Sie das 26-teilige Schrauberbit- und Ratschen-Set von Bosch Grau, Ihre ideale Wahl für vielseitige und präzise Montageaufgaben. Hergestellt aus hochwertigen Materialien, wurde jedes Element sorgsam ausgewählt, um Langlebigkeit und optimierte Performance zu gewährleisten. Ob zu Hause, in der Werkstatt oder bei beruflichen Projekten, dieses Set deckt alle gängigen Anwendungen ab und bietet eine komfortable Lösung für verschiedenste Schraubarbeiten. Mit farbcodierten Schrauberbits für schnelle Identifikation und Steckschlüssel in den häufig benötigten Größen, bietet dieses Profi-Set alles, was Heimwerker und Fachpersonal für effiziente und ergebnisorientierte Arbeit benötigen. Die hochwertige Ratsche garantiert dabei eine einfache Handhabung und zuverlässige Kraftübertragung. Befreien Sie sich von der Unordnung vieler Einzelwerkzeuge und wählen Sie dieses kompakte Set für all Ihre Schraubanforderungen."
e9458616-bc98-4e30-95f0-8ef632e28c0f,"Das 2in1 Infrarot-Thermometer mit Einstechfühler ist ein erstklassiges Messinstrument, das präzise sowohl die Oberflächentemperatur als auch die Kerntemperatur von Objekten misst. Perfekt ausgestattet für den professionellen und privaten Gebrauch, verfügt dieses digitale Thermometer über einen großen Messbereich von -40°C bis 280°C beim Infrarotmessverfahren und -40°C bis 230°C beim Einstechverfahren. Der robuste, einklappbare Edelstahlfühler und die IP65 Zertifizierung gewährleisten eine langlebige Nutzung auch unter harschen Bedingungen. Die Max.-Min.-Funktion erlaubt es, Temperaturschwankungen im Blick zu behalten, während das 4:1 Distanz-zu-Spot Verhältnis zielgenaue Messungen verspricht. Das handliche Maß von 140 x 38 x 24 mm macht das Thermometer zu einem kompakten Begleiter. Die Lieferung beinhaltet zudem eine Batterie, sodass Sie direkt mit den Messungen starten können. Mit seiner eleganten weißen Farbe und der digitalen Anzeige, die eine intuitive Bedienung ermöglicht, kombiniert dieses Gerät Funktionalität mit modernem Design."
2f4f19a7-04cf-4a82-8705-e8e1baba30f1,"Die 2in1 Pflegebürste von Vitakraft ist das ideale Werkzeug für die alltägliche Fellpflege Ihres Hundes. Ausgestattet mit einem Antirutsch-Gummigriff, bietet dieses zweckmäßige Zubehör einen sicheren Halt während des Bürstvorgangs. Die Drahtborsten sind speziell konzipiert, um Verfilzungen und abgestorbene Haare sanft zu entfernen, ohne das Haustier zu irritieren. Ihre praktischen Abmessungen von 6 cm in der Länge, 21 cm in der Höhe und 5,5 cm in der Breite machen sie zu einem handlichen Utensil, das sich leicht verstauen lässt. Egal ob Sie eine einfache Pflege oder intensives Kämmen anstreben, mit dieser multifunktionalen Bürste sorgen Sie für ein sauberes und glänzendes Fell Ihres Vierbeiners."
a2614ff0-2f1e-4d36-bc1f-6e6eddcfba94,"Diese STEBA POWER EASY Steckdosenleiste bietet eine praktische Lösung zur Energieverteilung in Ihrem Haushalt oder Büro. Mit ihrer kompakten Länge von 1,5 Metern und 4 längs angeordneten T13-Steckplätzen passt sie perfekt hinter jedes Möbelstück. Die klare weiße Farbe fügt sich nahtlos in moderne Umgebungen ein, während der integrierte RESET Überlastschutzschalter für zusätzliche Sicherheit sorgt. Die Steckdosenleiste besteht aus robustem Kunststoff und verfügt über einen praktischen Schalter zur einfachen Steuerung des Stromflusses. Im Lieferumfang sind zwei Stück enthalten, die jeweils mit einer maximalen Leistung von 2500 Watt belastet werden können. Sichern Sie Ihre Elektrogeräte stilvoll und sicher mit dieser schlanken und effizienten Steckdosenleiste."
51fd3afc-b9fc-4a55-823d-5bf912b2dbd4,"Diese elegante Steckdosenleiste 'STEBA POWER EASY' bietet Ihnen sechs T13-Steckplätze in längs angeordneter Anordnung für maximale Flexibilität beim Anschluss Ihrer elektrischen Geräte. Mit einer praktischen Kabellänge von 1,5 Metern und einer hochwertigen Ausführung in klarweißem Kunststoff fügt sie sich diskret in jede Umgebung ein. Die schlanke Bauform macht sie ideal für den Einsatz zu Hause oder im Büro. Die integrierte Resetschaltung sorgt mit einem RESET Überlastschutzschalter jederzeit für Ihre Sicherheit. Die maximale Leistungsaufnahme beträgt 2500 W, wodurch Geräte mit hohem Stromverbrauch problemlos betrieben werden können. Im Lieferumfang sind zwei Steckdosenleisten enthalten, damit Sie auch in anderen Räumen für Ordnung und Sicherheit sorgen können."
6e50faab-635a-47d8-894b-e51584a74513,"Dieses Set mit drei Soft-Bällen von Androni verspricht bunten Spaß für Kinder und Erwachsene. Jeder Ball ist in einer anderen leuchtenden Farbe gehalten (Blau, Grün, Gelb), was sie leicht unterscheidbar und attraktiv macht. Sie eignen sich ideal für diverse Outdoor-Spiele, sei es im Garten, am Strand oder im Park. Mit einer Größe von 56 x 39 x 51.5 cm liegen die Bälle gut in der Hand und sind auch für kleinere Kinderhände geeignet. Die robuste Qualität und das ansprechende Design sorgen für langanhaltende Freude bei Familie und Freunden. Erhältlich zu einem attraktiven Preis von nur 4.85 CHF, bieten diese Bälle eine hervorragende Möglichkeit, aktive Freizeitgestaltung zu genießen und die Koordination sowie die motorischen Fähigkeiten spielerisch zu fördern."
c177439b-dd38-4d03-8c98-955d5a57cd9e,"Beleuchten Sie Ihren Außenbereich mit dem faszinierenden Schimmer der '3 Einbaulichter 5 cm' in lebhaftem Blau von Easy Connect. Diese robusten Einbauleuchten aus langlebigem Kunststoff fügen sich nahtlos in Terrassen, Wege oder Treppen ein und kreieren ein stimmungsvolles Ambiente durch ihr dezentes Design. Mit einem Durchmesser von je 5 cm lassen sie sich diskret in verschiedenste Oberflächen integrieren und bieten sowohl Funktionalität als auch stilvolle Ästhetik. Weitere Informationen und einen visuellen Eindruck finden Sie auf der Jumbo-Webseite unter dem angegebenen Link sowie ein aussagekräftiges Bild über das Aussehen der Leuchten."
ec25a7c2-4392-4b2f-9c74-9fad4033e7fa,"Entfesseln Sie Ihr Grillmeister-Potenzial mit dem 3er-Set Grillzangen von Broil King! Mit diesem praktischen Set aus hochwertigem Edelstahl können Sie jede Grillsession meistern. Die Zangen in verschiedenen Farben sind nicht nur stilvoll, sondern auch nützlich, um Kreuzkontamination zu vermeiden – verwenden Sie jeweils eine Zange für Fisch, Fleisch oder Gemüse. Die ergonomischen Griffe sorgen für eine bequeme Handhabung, während die Robustheit des Materials eine langanhaltende Qualität garantiert. Heben Sie Ihre Grillerfahrung auf die nächste Stufe und genießen Sie das ultimative Grillvergnügen mit Zuverlässigkeit und Präzision."
5c6134ee-1284-4868-98af-ce0a8f3f524a,"Set aus drei großen Geschenkbeuteln in zwei verschiedenen Designs oder Farben, ideal für jede Geschenkverpackung. Diese hochwertigen Beutel aus 60g/m2 starkem Papier sind mit einem eleganten Goldband zum einfachen und sicheren Verschließen ausgestattet. Die Maße betragen 22 x 33 x 5 cm und bieten somit ausreichend Platz für Ihre Präsente. Mit ihrem fantasievollen Muster und einer Farbwahl, die Freude ausstrahlt, sind diese Beutel für jede Saison geeignet und verkörpern als Schweizer Produkt Qualität und Tradition. Ob zum Geburtstag, zu Weihnachten oder als kleine Aufmerksamkeit zwischendurch – diese mehrfarbigen Papierbeutel machen Ihr Geschenk zum Hingucker."
